threshold,fdr,human_pass_rate,ufi_proxy
0.1,0.0,1.0,0.0
0.111,0.0,1.0,0.0
0.122,0.0,1.0,0.0
0.132,0.0,1.0,0.0
0.143,0.0,1.0,0.0
0.154,0.0,1.0,0.0
0.165,0.0,1.0,0.0
0.175,0.0,1.0,0.0
0.186,0.0,1.0,0.0
0.197,0.0,1.0,0.0
0.208,0.0,1.0,0.0
0.218,0.0,1.0,0.0
0.229,0.0,1.0,0.0
0.24,0.0,1.0,0.0
0.251,0.0,1.0,0.0
0.261,0.0,1.0,0.0
0.272,0.0,1.0,0.0
0.283,0.0,1.0,0.0
0.294,0.0,1.0,0.0
0.304,0.0,1.0,0.0
0.315,0.0,1.0,0.0
0.326,0.0,1.0,0.0
0.337,0.0,1.0,0.0
0.347,0.0,1.0,0.0
0.358,0.0,1.0,0.0
0.369,0.0,1.0,0.0
0.38,0.0,1.0,0.0
0.391,0.0,1.0,0.0
0.401,0.0,1.0,0.0
0.412,0.0,1.0,0.0
0.423,0.0,1.0,0.0
0.434,0.0,1.0,0.0
0.444,0.0,1.0,0.0
0.455,0.0,1.0,0.0
0.466,0.0,1.0,0.0
0.477,0.0,1.0,0.0
0.487,0.0,1.0,0.0
0.498,0.0,1.0,0.0
0.509,0.0,1.0,0.0
0.52,0.0,1.0,0.0
0.53,0.0,1.0,0.0
0.541,0.0,1.0,0.0
0.552,0.0,1.0,0.0
0.563,0.0,1.0,0.0
0.573,0.0,1.0,0.0
0.584,0.0,1.0,0.0
0.595,0.0,1.0,0.0
0.606,0.0,1.0,0.0
0.616,0.0,1.0,0.0
0.627,0.0,1.0,0.0
0.638,0.0,1.0,0.0
0.649,0.0,1.0,0.0
0.659,0.0,1.0,0.0
0.67,0.0,1.0,0.0
0.681,0.0,1.0,0.0
0.692,0.0,1.0,0.0
0.703,0.0,1.0,0.0
0.713,0.0,1.0,0.0
0.724,0.0,1.0,0.0
0.735,0.0,1.0,0.0
0.746,0.0,1.0,0.0
0.756,0.0,1.0,0.0
0.767,0.0,1.0,0.0
0.778,0.0,1.0,0.0
0.789,0.0,1.0,0.0
0.799,0.0,1.0,0.0
0.81,0.0,1.0,0.0
0.821,0.0,1.0,0.0
0.832,0.0,1.0,0.0
0.842,0.0,1.0,0.0
0.853,0.0,1.0,0.0
0.864,0.0,1.0,0.0
0.875,0.0,1.0,0.0
0.885,0.0,1.0,0.0
0.896,0.0,1.0,0.0
0.907,0.0,1.0,0.0
0.918,0.0,1.0,0.0
0.928,0.0,1.0,0.0
0.939,0.0,0.9933,0.0067
0.95,0.0,0.9867,0.0133
